customer_id,first_name,last_name,email,address_id,phone
1,Mary,Smith,mary.smith@sakilacustomer.org,5,28303384290
2,Patricia,Johnson,patricia.johnson@sakilacustomer.org,6,838635286649
3,Linda,Williams,linda.williams@sakilacustomer.org,7,448477190408
4,Barbara,Jones,barbara.jones@sakilacustomer.org,8,705814003527
5,Elizabeth,Brown,elizabeth.brown@sakilacustomer.org,9,10655648674
6,Jennifer,Davis,jennifer.davis@sakilacustomer.org,10,860452626434
7,Maria,Miller,maria.miller@sakilacustomer.org,11,716571220373
8,Susan,Wilson,susan.wilson@sakilacustomer.org,12,657282285970
9,Margaret,Moore,margaret.moore@sakilacustomer.org,13,380657522649
10,Dorothy,Taylor,dorothy.taylor@sakilacustomer.org,14,648856936185
11,Lisa,Anderson,lisa.anderson@sakilacustomer.org,15,635297277345
12,Nancy,Thomas,nancy.thomas@sakilacustomer.org,16,465887807014
13,Karen,Jackson,karen.jackson@sakilacustomer.org,17,695479687538
14,Betty,White,betty.white@sakilacustomer.org,18,517338314235
15,Helen,Harris,helen.harris@sakilacustomer.org,19,990911107354
16,Sandra,Martin,sandra.martin@sakilacustomer.org,20,949312333307
17,Donna,Thompson,donna.thompson@sakilacustomer.org,21,407752414682
18,Carol,Garcia,carol.garcia@sakilacustomer.org,22,747791594069
19,Ruth,Martinez,ruth.martinez@sakilacustomer.org,23,272572357893
20,Sharon,Robinson,sharon.robinson@sakilacustomer.org,24,144453869132
21,Michelle,Clark,michelle.clark@sakilacustomer.org,25,892775750063
22,Laura,Rodriguez,laura.rodriguez@sakilacustomer.org,26,161968374323
23,Sarah,Lewis,sarah.lewis@sakilacustomer.org,27,902731229323
24,Kimberly,Lee,kimberly.lee@sakilacustomer.org,28,934730187245
25,Deborah,Walker,deborah.walker@sakilacustomer.org,29,196495945706
26,Jessica,Hall,jessica.hall@sakilacustomer.org,30,998009777982
27,Shirley,Allen,shirley.allen@sakilacustomer.org,31,665356572025
28,Cynthia,Young,cynthia.young@sakilacustomer.org,32,678220867005
29,Angela,Hernandez,angela.hernandez@sakilacustomer.org,33,18461860151
30,Melissa,King,melissa.king@sakilacustomer.org,34,525255540978
31,Brenda,Wright,brenda.wright@sakilacustomer.org,35,745994947458
32,Amy,Lopez,amy.lopez@sakilacustomer.org,36,627705991774
33,Anna,Hill,anna.hill@sakilacustomer.org,37,911872220378
34,Rebecca,Scott,rebecca.scott@sakilacustomer.org,38,708403338270
35,Virginia,Green,virginia.green@sakilacustomer.org,39,440512153169
36,Kathleen,Adams,kathleen.adams@sakilacustomer.org,40,481183273622
37,Pamela,Baker,pamela.baker@sakilacustomer.org,41,912257250465
38,Martha,Gonzalez,martha.gonzalez@sakilacustomer.org,42,489783829737
39,Debra,Nelson,debra.nelson@sakilacustomer.org,43,378318851631
40,Amanda,Carter,amanda.carter@sakilacustomer.org,44,680768868518
41,Stephanie,Mitchell,stephanie.mitchell@sakilacustomer.org,45,42384721397
42,Carolyn,Perez,carolyn.perez@sakilacustomer.org,46,471675840679
43,Christine,Roberts,christine.roberts@sakilacustomer.org,47,539758313890
44,Marie,Turner,marie.turner@sakilacustomer.org,48,177727722820
45,Janet,Phillips,janet.phillips@sakilacustomer.org,49,675292816413
46,Catherine,Campbell,catherine.campbell@sakilacustomer.org,50,262076994845
47,Frances,Parker,frances.parker@sakilacustomer.org,51,69493378813
48,Ann,Evans,ann.evans@sakilacustomer.org,52,705800322606
49,Joyce,Edwards,joyce.edwards@sakilacustomer.org,53,876295323994
50,Diane,Collins,diane.collins@sakilacustomer.org,54,307703950263
51,Alice,Stewart,alice.stewart@sakilacustomer.org,55,171822533480
52,Julie,Sanchez,julie.sanchez@sakilacustomer.org,56,680428310138
53,Heather,Morris,heather.morris@sakilacustomer.org,57,697760867968
54,Teresa,Rogers,teresa.rogers@sakilacustomer.org,58,920811325222
